"id","gender","birthyr","race","educ","faminc","inputstate","pid3","pid7","votereg","ideo5","newsint","marstat","child18","employ","presvote16post","region"
371823339,1,1993,1,2,4,39,3,5,1,3,2,1,1,7,3,2
398212310,1,2000,1,2,97,51,5,8,3,2,5,6,2,8,7,3
392933925,1,2000,1,1,1,34,2,7,1,4,1,5,2,8,2,1
372445135,1,1994,1,2,2,55,3,3,2,3,3,5,2,6,7,2
392602384,1,1994,1,2,6,12,1,2,1,3,1,5,2,2,1,3
384971789,1,1999,1,2,5,39,2,7,2,5,1,5,2,8,7,2
343805405,1,1989,1,2,3,29,3,4,1,3,2,1,1,1,1,2
406500387,1,1997,1,2,4,42,1,2,2,2,1,5,2,4,7,1
390083210,1,1997,1,2,8,12,3,5,1,5,1,5,2,8,2,3
374540683,1,1997,1,2,1,5,4,4,1,5,2,5,2,2,2,3
377961492,1,1990,1,2,2,21,3,4,1,3,3,5,2,2,7,3
383823390,1,2000,1,1,5,55,5,3,2,6,3,5,2,8,7,2
377014945,1,2000,1,1,97,13,3,4,2,1,1,5,2,8,7,3
315725871,1,1990,1,2,6,6,2,6,1,3,2,1,2,1,1,4
402412100,1,1995,1,2,2,42,3,4,2,1,1,5,2,8,7,1
374638081,1,2000,1,2,97,47,2,7,2,5,3,5,2,8,7,3
337717162,1,1995,1,2,2,21,1,2,2,3,2,5,2,2,7,3
358384977,1,1993,1,2,6,25,3,5,1,3,1,5,2,1,2,1
378159739,1,1989,1,2,8,42,3,3,1,2,1,6,2,7,1,1
378919960,1,1997,1,1,97,41,5,4,3,6,5,6,2,9,7,4
414058630,1,2000,1,2,6,18,2,6,2,4,2,5,2,8,7,2
396844167,1,1994,1,1,4,12,3,5,1,2,3,1,1,8,2,3
409260627,1,1999,1,1,10,34,1,1,1,1,1,5,2,2,1,1
385788752,1,2000,1,2,97,47,2,7,2,5,4,5,2,8,7,3
369442002,1,1999,1,2,97,49,4,4,2,5,1,5,2,1,6,4
374206867,1,2000,1,1,9,39,2,7,1,5,1,5,2,8,7,2
403624836,1,1998,1,2,5,50,4,4,1,1,1,5,2,2,4,1
405240401,1,1998,1,2,97,36,5,8,2,6,4,5,2,8,7,1
396286323,1,1998,1,2,3,13,1,1,1,1,2,5,2,8,1,3
